2011-05-09 21:45:33,471 DEBUG    sys.stdout logging level: 20
2011-05-09 21:45:33,472 INFO     Writing log to file "/home/user/.rednotebook/rednotebook.log"
2011-05-09 21:45:33,674 INFO     Running in portable mode: False
2011-05-09 21:45:33,674 INFO     First Start: True
2011-05-09 21:45:33,674 INFO     RedNotebook version: 1.1.4
2011-05-09 21:45:33,677 INFO     System info: machine: i686, platform: Linux-2.6.38-2-486-i686-with-debian-wheezy-sid, processor: , python_version: 2.6.6, release: 2.6.38-2-486, system: Linux, GTK version: (2, 24, 4), PyGTK version: (2, 17, 0), Yaml version: 3.09
2011-05-09 21:45:33,789 INFO     Using webkit for previews: 1
2011-05-09 21:45:34,212 INFO     Cloud ignore list: [u'filter', u'these', u'comma', u'separated', u'words']
2011-05-09 21:45:34,212 INFO     Cloud include list: [u'mtv', u'spam', u'work', u'job', u'play']
2011-05-09 21:45:34,212 INFO     Using pywebkitgtk for the clouds.
2011-05-09 21:45:34,225 DEBUG    Tray icon visible: False
2011-05-09 21:45:34,227 INFO     Using zeitgeist: False
2011-05-09 21:45:34,227 INFO     Opening journal at /home/user/.rednotebook/data
2011-05-09 21:45:34,227 DEBUG    Starting to load files in dir "/home/user/.rednotebook/data"
2011-05-09 21:45:34,227 DEBUG    Finished loading files in dir "/home/user/.rednotebook/data"
2011-05-09 21:45:34,228 INFO     Adding example content
2011-05-09 21:45:34,287 DEBUG    Update the cloud (Type: word, Force: True)
2011-05-09 21:45:34,290 DEBUG    Retrieved WordCountDict. Length: 278
2011-05-09 21:45:34,290 DEBUG    Turning the word_count_dict into html
2011-05-09 21:45:34,290 DEBUG    Length word_count_dict: 278
2011-05-09 21:45:34,290 DEBUG    Filtered short words. Length word_count_dict: 153
2011-05-09 21:45:34,290 DEBUG    Filtered blacklist words. Length word_count_dict: 153
2011-05-09 21:45:34,290 DEBUG    Selected most frequent words. Length CloudWords: 42
2011-05-09 21:45:34,290 DEBUG    Min word count: 1, Max word count: 15
2011-05-09 21:45:34,291 DEBUG    Sorted cloud words. Length CloudWords: 42
2011-05-09 21:45:34,291 DEBUG    42 cloud words found
2011-05-09 21:45:34,292 DEBUG    Cloud updated
2011-05-09 21:45:34,296 INFO     Connected Signals: 1 2 3 6 15 20 
2011-05-09 21:45:34,296 DEBUG    Start took 0.622318029404 seconds
2011-05-09 21:45:34,296 DEBUG    Trying to enter the gtk main loop
2011-05-09 21:45:49,951 DEBUG    Main frame destroyed
2011-05-09 21:45:49,982 INFO     The content has been saved to /home/user/.rednotebook/data
2011-05-09 21:45:49,982 INFO     Configuration has been saved to disk
2011-05-09 21:45:49,982 INFO     Goodbye!
